investor_id,Average_Gap_Days,Total_Transactions,Total_Investment,SIP_Status
INV000001,38.0,3,237429,At Risk
INV000002,82.8,6,681325,At Risk
INV000003,238.0,2,17861,At Risk
INV000004,53.375,9,476881,At Risk
INV000005,52.0,8,1398173,At Risk
INV000006,99.0,6,374177,At Risk
INV000007,104.5,5,82420,At Risk
INV000008,50.285714285714285,8,948979,At Risk
INV000009,80.83333333333333,7,581851,At Risk
INV000010,32.8,11,1321472,Active
INV000011,45.2,11,1099634,At Risk
INV000012,41.4,11,954446,At Risk
INV000013,36.888888888888886,10,865449,At Risk
INV000014,47.1,11,1060830,At Risk
INV000015,127.0,2,265612,At Risk
INV000016,87.5,3,655227,At Risk
INV000017,131.33333333333334,4,805968,At Risk
INV000018,110.33333333333333,4,420620,At Risk
INV000019,136.66666666666666,4,218987,At Risk
INV000020,57.8,6,1113745,At Risk
INV000021,75.4,6,807228,At Risk
INV000022,95.8,6,1054287,At Risk
INV000023,45.55555555555556,10,461628,At Risk
INV000024,43.285714285714285,8,1254570,At Risk
INV000025,,1,13678,Active
INV000026,72.33333333333333,7,826838,At Risk
INV000027,58.5,7,1465451,At Risk
INV000028,58.5,9,1065631,At Risk
INV000029,36.4,11,894277,At Risk
INV000030,38.27272727272727,12,1315849,At Risk
INV000031,85.0,6,542411,At Risk
INV000032,67.71428571428571,8,1231203,At Risk
INV000033,46.2,11,1131799,At Risk
INV000034,52.0,3,296610,At Risk
INV000035,144.0,2,1710,At Risk
INV000036,99.0,2,11059,At Risk
INV000037,62.5,5,1139629,At Risk
INV000038,64.16666666666667,7,793676,At Risk
INV000039,52.857142857142854,8,482497,At Risk
INV000040,51.55555555555556,10,1480910,At Risk
INV000041,68.6,6,1521738,At Risk
INV000042,17.0,5,577025,Active
INV000043,181.0,3,494094,At Risk
INV000044,89.0,6,703471,At Risk
INV000045,39.22222222222222,10,1295094,At Risk
INV000046,72.0,7,834098,At Risk
INV000047,60.5,5,917232,At Risk
INV000048,36.8,11,208461,At Risk
INV000049,247.5,3,37744,At Risk
INV000050,71.5,3,279000,At Risk
INV000051,63.2,6,1256292,At Risk
INV000052,46.0,10,1164105,At Risk
INV000053,7.0,2,9834,Active
INV000054,56.0,7,488684,At Risk
INV000055,36.36363636363637,12,1966742,At Risk
INV000056,66.85714285714286,8,290649,At Risk
INV000057,34.8,11,826946,Active
INV000058,56.833333333333336,7,537154,At Risk
INV000059,,1,1764,Active
INV000060,90.0,2,24574,At Risk
INV000061,67.25,5,607545,At Risk
INV000062,66.28571428571429,8,1245620,At Risk
INV000063,218.0,3,9210,At Risk
INV000064,,1,473247,Active
INV000065,91.8,6,431252,At Risk
INV000066,40.833333333333336,7,1210286,At Risk
INV000067,,1,538,Active
INV000068,,1,417438,Active
INV000069,40.18181818181818,12,691513,At Risk
INV000070,113.66666666666667,4,218564,At Risk
INV000071,14.333333333333334,7,883938,Active
INV000072,46.666666666666664,10,1360992,At Risk
INV000073,45.666666666666664,10,389007,At Risk
INV000074,50.8,11,966394,At Risk
INV000075,62.333333333333336,7,522440,At Risk
INV000076,58.375,9,779077,At Risk
INV000077,87.0,2,687684,At Risk
INV000078,153.0,4,797804,At Risk
INV000079,56.125,9,582247,At Risk
INV000080,60.75,5,424500,At Risk
INV000081,48.8,11,1246072,At Risk
INV000082,62.75,9,467544,At Risk
INV000083,180.0,2,93284,At Risk
INV000084,76.5,7,790760,At Risk
INV000085,52.142857142857146,8,1103908,At Risk
INV000086,36.54545454545455,12,924447,At Risk
INV000087,51.55555555555556,10,1535954,At Risk
INV000088,23.333333333333332,4,456686,Active
INV000089,49.1,11,1902611,At Risk
INV000090,48.5,7,1238312,At Risk
INV000091,45.63636363636363,12,983083,At Risk
INV000092,89.25,5,532320,At Risk
INV000093,49.333333333333336,10,938401,At Risk
INV000094,44.8,11,1072694,At Risk
INV000095,52.375,9,1454422,At Risk
INV000096,2.0,2,17236,Active
INV000097,45.7,11,956579,At Risk
INV000098,66.83333333333333,7,263030,At Risk
INV000099,52.42857142857143,8,609026,At Risk
INV000100,61.42857142857143,8,1666238,At Risk
INV000101,42.18181818181818,12,1074030,At Risk
INV000102,45.7,11,833234,At Risk
INV000103,63.857142857142854,8,812455,At Risk
INV000104,45.0,12,1570044,At Risk
INV000105,44.333333333333336,10,609014,At Risk
INV000106,63.0,4,438624,At Risk
INV000107,50.0,5,689715,At Risk
INV000108,45.625,9,1510587,At Risk
INV000109,41.111111111111114,10,370528,At Risk
INV000110,122.0,3,16633,At Risk
INV000111,205.0,2,71275,At Risk
INV000112,80.33333333333333,4,374488,At Risk
INV000113,55.625,9,572762,At Risk
INV000114,47.333333333333336,4,933047,At Risk
INV000115,94.0,6,734219,At Risk
INV000116,78.75,5,476636,At Risk
INV000117,54.857142857142854,8,1343830,At Risk
INV000118,50.6,6,64549,At Risk
INV000119,142.0,2,34154,At Risk
INV000120,116.0,4,47430,At Risk
INV000121,133.66666666666666,4,723039,At Risk
INV000122,,1,46110,Active
INV000123,44.75,9,429370,At Risk
INV000124,86.8,6,620700,At Risk
INV000125,57.166666666666664,7,766736,At Risk
INV000126,192.5,3,358987,At Risk
INV000127,131.5,3,624406,At Risk
INV000128,45.55555555555556,10,833586,At Risk
INV000129,49.1,11,1611261,At Risk
INV000130,38.22222222222222,10,2281059,At Risk
INV000131,37.72727272727273,12,1926246,At Risk
INV000132,46.125,9,1102531,At Risk
INV000133,73.5,7,470935,At Risk
INV000134,87.0,3,14726,At Risk
INV000135,103.33333333333333,4,65453,At Risk
INV000136,,1,820,Active
INV000137,41.75,9,1432382,At Risk
INV000138,45.36363636363637,12,2106027,At Risk
INV000139,,1,6583,Active
INV000140,119.33333333333333,4,762552,At Risk
INV000141,,1,8219,Active
INV000142,,1,145769,Active
INV000143,51.333333333333336,7,597772,At Risk
INV000144,73.0,6,614283,At Risk
INV000145,55.875,9,788760,At Risk
INV000146,47.714285714285715,8,378075,At Risk
INV000147,58.0,7,577043,At Risk
INV000148,46.22222222222222,10,323740,At Risk
INV000149,,1,445493,Active
INV000150,58.0,9,675917,At Risk
INV000151,66.8,6,999068,At Risk
INV000152,87.0,2,360590,At Risk
INV000153,31.444444444444443,10,1274163,Active
INV000154,59.125,9,1207941,At Risk
INV000155,55.285714285714285,8,288188,At Risk
INV000156,79.83333333333333,7,611092,At Risk
INV000157,,1,132893,Active
INV000158,63.714285714285715,8,1335840,At Risk
INV000159,201.0,3,38250,At Risk
INV000160,71.0,5,684118,At Risk
INV000161,54.75,9,908572,At Risk
INV000162,435.0,2,18379,At Risk
